,Tiker,Date,Score
82,msft,2018-07-26 03:28:11,0
83,msft,2018-07-26 03:27:45,0.1666666667
84,msft,2018-07-26 03:25:30,0
85,msft,2018-07-26 03:22:00,0
86,msft,2018-07-26 03:21:00,0.2
87,msft,2018-07-26 03:15:52,0
88,msft,2018-07-26 03:15:23,-0.125
89,msft,2018-07-26 03:15:03,0.4
90,msft,2018-07-26 03:14:29,0
91,msft,2018-07-26 03:14:18,0
92,msft,2018-07-26 03:07:49,0
93,msft,2018-07-26 03:06:56,0
94,msft,2018-07-26 03:04:34,0.5
95,msft,2018-07-26 03:03:03,0
96,msft,2018-07-26 03:01:45,0
97,msft,2018-07-26 03:01:19,0
98,msft,2018-07-26 03:01:00,0
99,msft,2018-07-26 03:00:21,P’s huge rally coming up.
100,msft,2018-07-26 02:59:53,0
101,msft,2018-07-26 02:59:26,0
102,msft,2018-07-26 02:58:27,0
103,msft,2018-07-26 02:57:54,0
104,msft,2018-07-26 02:57:25,0
105,msft,2018-07-26 02:56:52,0
106,msft,2018-07-26 02:56:24,0
107,msft,2018-07-26 02:56:00,0
108,msft,2018-07-26 02:55:30,0
109,msft,2018-07-26 02:55:00,0
110,msft,2018-07-26 02:54:20,0
111,msft,2018-07-26 02:54:05,0.7
112,msft,2018-07-26 02:52:54,0
113,msft,2018-07-26 02:49:50,0
114,msft,2018-07-26 02:47:52,0.3333333333
115,msft,2018-07-26 02:47:46,0
116,msft,2018-07-26 02:47:31,0
117,msft,2018-07-26 02:47:00,0
118,msft,2018-07-26 02:44:05,0
119,msft,2018-07-26 02:43:33,0
120,msft,2018-07-26 02:41:53,-0.1571428571
121,msft,2018-07-26 02:40:06,0
122,msft,2018-07-26 02:40:00,0
123,msft,2018-07-26 02:39:47,0
124,msft,2018-07-26 02:37:54,-0.2
125,msft,2018-07-26 02:35:57,0
126,msft,2018-07-26 02:30:45,0
127,msft,2018-07-26 02:30:00,0
128,msft,2018-07-26 02:28:31,0
129,msft,2018-07-26 02:24:53,0
130,msft,2018-07-26 02:23:30,0
131,msft,2018-07-26 02:23:20,0.1363636364
132,msft,2018-07-26 02:21:00,0
133,msft,2018-07-26 02:20:29,0
134,msft,2018-07-26 02:19:33,0
135,msft,2018-07-26 02:15:06,0
136,msft,2018-07-26 02:14:32,0
137,msft,2018-07-26 02:12:06,-0.2277777778
138,msft,2018-07-26 02:10:08,0
139,msft,2018-07-26 02:09:27,0
140,msft,2018-07-26 02:04:00,0.5
141,msft,2018-07-26 02:02:03,0.4
142,msft,2018-07-26 02:01:47,0.1041666667
143,msft,2018-07-26 02:01:44,0
144,msft,2018-07-26 02:00:15,0
145,msft,2018-07-26 02:00:04,0
146,msft,2018-07-26 02:00:04,0.025
147,msft,2018-07-26 01:59:23,0.4
148,msft,2018-07-26 01:58:49,0.075
149,msft,2018-07-26 01:58:20, SQL Server 2008 and 2008 R2  #MSFTAdvocate
150,msft,2018-07-26 01:56:53,0.91
151,msft,2018-07-26 01:56:49,0.2666666667
152,msft,2018-07-26 01:56:49,0
153,msft,2018-07-26 01:56:25,0
154,msft,2018-07-26 01:55:00,0
155,msft,2018-07-26 01:54:36,0
156,msft,2018-07-26 01:53:40,0.05
157,msft,2018-07-26 01:50:52,0.0555555556
158,msft,2018-07-26 01:50:52,0.16
159,msft,2018-07-26 01:50:50,0
160,msft,2018-07-26 01:50:07,0.2
161,msft,2018-07-26 01:40:00,0
162,msft,2018-07-26 01:39:52,0.1666666667
163,msft,2018-07-26 01:39:18,0.5
164,msft,2018-07-26 01:39:00,0.375
165,msft,2018-07-26 01:38:56,0
166,msft,2018-07-26 01:36:35,-0.5
167,msft,2018-07-26 01:36:27,0
168,msft,2018-07-26 01:36:12,0
169,msft,2018-07-26 01:35:19,0.25
170,msft,2018-07-26 01:33:37,0
171,msft,2018-07-26 01:33:28,0.3681818182
172,msft,2018-07-26 01:31:52, volume above its 3-mth avg: $GRUB $VCYT $VICR $FLIR $FB $RHI $KN $HCA $WIX… 
173,msft,2018-07-26 01:30:02,0.3681818182
174,msft,2018-07-26 01:30:00,-0.3666666667
175,msft,2018-07-26 01:30:00,0
176,msft,2018-07-26 01:29:44,0
177,msft,2018-07-26 01:28:05,0
178,msft,2018-07-26 01:27:12,0.0121212121
179,msft,2018-07-26 01:25:04,0.075
180,msft,2018-07-26 01:24:58,0.3
181,msft,2018-07-26 01:23:24,0
182,msft,2018-07-26 01:21:40,0.35
183,msft,2018-07-26 01:21:37,0
184,msft,2018-07-26 01:19:25,0.35
185,msft,2018-07-26 01:18:53,0.35
186,msft,2018-07-26 01:18:13, Must read before buying Jason Bond Picks!!!!! $WYNN $INTC $MSFT
187,msft,2018-07-26 01:14:56,0.3
188,msft,2018-07-26 01:13:50,-0.0625
189,msft,2018-07-26 01:11:27,0
190,msft,2018-07-26 01:11:16,0
191,msft,2018-07-26 01:07:00,0.5
192,msft,2018-07-26 01:05:03,0.5
193,msft,2018-07-26 01:05:00,0.4
194,msft,2018-07-26 01:04:26,0
195,msft,2018-07-26 01:04:00,0
196,msft,2018-07-26 01:03:43,0
197,msft,2018-07-26 01:02:31,0.25
198,msft,2018-07-26 01:02:00,0
199,msft,2018-07-26 01:02:00,0
200,msft,2018-07-26 01:01:45,0.45
201,msft,2018-07-26 01:00:37,0
202,msft,2018-07-26 01:00:10,0
203,msft,2018-07-26 01:00:02,-0.0166666667
204,msft,2018-07-26 01:00:02,0
205,msft,2018-07-26 01:00:00,0.1666666667
206,msft,2018-07-26 00:59:26,0
207,msft,2018-07-26 00:58:51,0
208,msft,2018-07-26 00:58:45,0.5
209,msft,2018-07-26 00:58:41,0
210,msft,2018-07-26 00:58:07,0
211,msft,2018-07-26 00:55:25,0.1363636364
212,msft,2018-07-26 00:54:28,0
213,msft,2018-07-26 00:52:55,0.4
214,msft,2018-07-26 00:52:54,0
215,msft,2018-07-26 00:52:54,0
216,msft,2018-07-26 00:51:00,0.6
217,msft,2018-07-26 00:49:33,0
218,msft,2018-07-26 00:48:54,0
219,msft,2018-07-26 00:47:47,0
220,msft,2018-07-26 00:45:04,0.1363636364
221,msft,2018-07-26 00:45:00,0
222,msft,2018-07-26 00:44:50,0
223,msft,2018-07-26 00:42:54,0
224,msft,2018-07-26 00:41:31,0.25
225,msft,2018-07-26 00:41:21,amp
226,msft,2018-07-26 00:40:01, more cost efficiently w/ a more personalized #custexp from #MSDyn365. Wa… 
227,msft,2018-07-26 00:40:00,0
228,msft,2018-07-26 00:38:55,0
229,msft,2018-07-26 00:38:01,0
230,msft,2018-07-26 00:36:14,-0.1777777778
231,msft,2018-07-26 00:34:38,0
232,msft,2018-07-26 00:33:54,0
233,msft,2018-07-26 00:33:07,0
234,msft,2018-07-26 00:33:00,0
235,msft,2018-07-26 00:33:00,0
236,msft,2018-07-26 00:31:51,0
237,msft,2018-07-26 00:31:00,0
238,msft,2018-07-26 00:30:49,0
239,msft,2018-07-26 00:30:01,0
240,msft,2018-07-26 00:29:12,0
241,msft,2018-07-26 00:29:00,0.5523809524
242,msft,2018-07-26 00:28:23,0
243,msft,2018-07-26 00:28:17,0
244,msft,2018-07-26 00:27:24,-0.1458333333
245,msft,2018-07-26 00:26:18,-0.1666666667
246,msft,2018-07-26 00:25:29,0
247,msft,2018-07-26 00:24:32,0
248,msft,2018-07-26 00:24:32,0
249,msft,2018-07-26 00:24:31,-0.1
250,msft,2018-07-26 00:24:00,0
251,msft,2018-07-26 00:24:00,0
252,msft,2018-07-26 00:23:05,0
253,msft,2018-07-26 00:23:01,-0.0142857143
254,msft,2018-07-26 00:22:34,0
255,msft,2018-07-26 00:21:25,0
256,msft,2018-07-26 00:20:55,0
257,msft,2018-07-26 00:20:25,0
258,msft,2018-07-26 00:19:29,0
259,msft,2018-07-26 00:18:55,0
260,msft,2018-07-26 00:17:27,-0.75
261,msft,2018-07-26 00:16:53,0
262,msft,2018-07-26 00:16:51,0
263,msft,2018-07-26 00:16:07,0
264,msft,2018-07-26 00:15:53,0
265,msft,2018-07-26 00:14:30,0
266,msft,2018-07-26 00:14:30,0.25
267,msft,2018-07-26 00:13:52,0
268,msft,2018-07-26 00:13:29,0
269,msft,2018-07-26 00:13:21,0
270,msft,2018-07-26 00:13:01,0.1363636364
271,msft,2018-07-26 00:13:00,0.7
272,msft,2018-07-26 00:12:52,0
273,msft,2018-07-26 00:12:33,0
274,msft,2018-07-26 00:10:53,0
275,msft,2018-07-26 00:10:21,0
276,msft,2018-07-26 00:10:09,0
277,msft,2018-07-26 00:10:00,0
278,msft,2018-07-26 00:09:05,-0.3
279,msft,2018-07-26 00:08:00,0.4222222222
280,msft,2018-07-26 00:07:46,0
281,msft,2018-07-26 00:07:00,-0.1555555556
282,msft,2018-07-26 00:06:09,0.05
283,msft,2018-07-26 00:05:58,0
284,msft,2018-07-26 00:05:00,0
285,msft,2018-07-26 00:04:51,0.0990909091
286,msft,2018-07-26 00:04:39,0
287,msft,2018-07-26 00:04:00,0
288,msft,2018-07-26 00:03:00,0
289,msft,2018-07-26 00:03:00,0.7
290,msft,2018-07-26 00:01:32,0
291,msft,2018-07-26 00:01:01,0
292,msft,2018-07-26 00:00:13,0.2130681818
293,msft,2018-07-26 00:00:03,0
294,msft,2018-07-25 23:57:00,0
295,msft,2018-07-25 23:56:29,0
296,msft,2018-07-25 23:52:33,0
297,msft,2018-07-25 23:52:14,0
298,msft,2018-07-25 23:52:00,0
299,msft,2018-07-25 23:50:38,D in 2016 alone. Tesla today is the result of $19B equ… 
300,msft,2018-07-25 23:50:25,0
301,msft,2018-07-25 23:50:05,0
302,msft,2018-07-25 23:49:32,0.0681818182
303,msft,2018-07-25 23:49:00,0
304,msft,2018-07-25 23:48:18,0
305,msft,2018-07-25 23:48:08,0
306,msft,2018-07-25 23:48:00,0
307,msft,2018-07-25 23:47:37,0
308,msft,2018-07-25 23:45:15,0
309,msft,2018-07-25 23:44:57,0
310,msft,2018-07-25 23:43:26,0
311,msft,2018-07-25 23:43:25,0
312,msft,2018-07-25 23:42:00,0
313,msft,2018-07-25 23:40:02,0.2375
314,msft,2018-07-25 23:38:45,0
315,msft,2018-07-25 23:38:00,0
316,msft,2018-07-25 23:36:00,0.1363636364
317,msft,2018-07-25 23:35:56,0
318,msft,2018-07-25 23:35:49,-0.2
319,msft,2018-07-25 23:34:32,-0.0041666667
320,msft,2018-07-25 23:34:28,0
321,msft,2018-07-25 23:32:15,0
322,msft,2018-07-25 23:32:14,0
323,msft,2018-07-25 23:30:55,0
324,msft,2018-07-25 23:30:12,-0.91
325,msft,2018-07-25 23:30:10,-0.0068181818
326,msft,2018-07-25 23:30:06,0.5
327,msft,2018-07-25 23:30:00,0.2
328,msft,2018-07-25 23:30:00,0
329,msft,2018-07-25 23:28:52,-0.0277777778
330,msft,2018-07-25 23:24:00,0.5
331,msft,2018-07-25 23:24:00,0
332,msft,2018-07-25 23:22:06,0
333,msft,2018-07-25 23:21:29,0
334,msft,2018-07-25 23:21:29,0
335,msft,2018-07-25 23:21:24,0
336,msft,2018-07-25 23:20:58,0
337,msft,2018-07-25 23:18:12,0.4119047619
338,msft,2018-07-25 23:17:32,0.2916666667
339,msft,2018-07-25 23:17:21,0.8333333333
340,msft,2018-07-25 23:16:21,0
341,msft,2018-07-25 23:16:03,0.5625
342,msft,2018-07-25 23:15:36,0.4
343,msft,2018-07-25 23:15:04,-0.0068181818
344,msft,2018-07-25 23:15:00,0
345,msft,2018-07-25 23:13:28,0
346,msft,2018-07-25 23:13:13,0
347,msft,2018-07-25 23:12:24,0
348,msft,2018-07-25 23:10:12,0
349,msft,2018-07-25 23:09:48,0
350,msft,2018-07-25 23:09:18,0
351,msft,2018-07-25 23:09:05,0
352,msft,2018-07-25 23:09:04,0
353,msft,2018-07-25 23:08:12,0
354,msft,2018-07-25 23:08:06,0
355,msft,2018-07-25 23:08:00,0
356,msft,2018-07-25 23:07:48,0
357,msft,2018-07-25 23:07:21,0
358,msft,2018-07-25 23:06:37, $MSFT $GOOGL $AAPL $AMZN 🤓
359,msft,2018-07-25 23:06:30,0
360,msft,2018-07-25 23:05:12,0
361,msft,2018-07-25 23:05:11,0.5
362,msft,2018-07-25 23:04:08,0
363,msft,2018-07-25 23:04:00,0.5
364,msft,2018-07-25 23:03:13,0.5
365,msft,2018-07-25 23:02:49,0.1833333333
366,msft,2018-07-25 23:01:53,0.225
367,msft,2018-07-25 23:00:21,0
368,msft,2018-07-25 23:00:19,-0.0777777778
369,msft,2018-07-25 23:00:01,0.5
370,msft,2018-07-25 23:00:01,0
371,msft,2018-07-25 22:58:42,0
372,msft,2018-07-25 22:58:06,0
373,msft,2018-07-25 22:58:06,0.0731481481
374,msft,2018-07-25 22:57:15,-0.1555555556
375,msft,2018-07-25 22:55:06,0.125
376,msft,2018-07-25 22:54:46,-0.1333333333
377,msft,2018-07-25 22:54:19,0
378,msft,2018-07-25 22:54:01,0.3
379,msft,2018-07-25 22:53:29,0.2
380,msft,2018-07-25 22:51:59,0.6
381,msft,2018-07-25 22:50:58,0
382,msft,2018-07-25 22:50:29,0.2
383,msft,2018-07-25 22:50:16,-0.15
384,msft,2018-07-25 22:46:22,-0.5
385,msft,2018-07-25 22:45:54,0
386,msft,2018-07-25 22:45:24,0
387,msft,2018-07-25 22:45:08,0
388,msft,2018-07-25 22:45:07,0
389,msft,2018-07-25 22:44:30,0.5
390,msft,2018-07-25 22:44:21,0
391,msft,2018-07-25 22:43:25,0
392,msft,2018-07-25 22:42:13,0
393,msft,2018-07-25 22:40:43,0
394,msft,2018-07-25 22:40:00, impact of its #sales enablement &amp
395,msft,2018-07-25 22:39:48,0
396,msft,2018-07-25 22:39:47,0.3291666667
397,msft,2018-07-25 22:38:04,0
398,msft,2018-07-25 22:37:38,0
399,msft,2018-07-25 22:36:35,0
400,msft,2018-07-25 22:36:28, $FB $MSFT $IWM 
401,msft,2018-07-25 22:35:56,0
402,msft,2018-07-25 22:35:50,0.9
403,msft,2018-07-25 22:35:02,0.65
404,msft,2018-07-25 22:35:00,0.2
405,msft,2018-07-25 22:32:35,0
406,msft,2018-07-25 22:32:22,0
407,msft,2018-07-25 22:32:05,-0.0972222222
408,msft,2018-07-25 22:31:48,0.0333333333
409,msft,2018-07-25 22:31:48,0
410,msft,2018-07-25 22:30:46,0.3416666667
411,msft,2018-07-25 22:30:35,0
412,msft,2018-07-25 22:30:25,0
413,msft,2018-07-25 22:30:00,0
414,msft,2018-07-25 22:28:57,0
415,msft,2018-07-25 22:28:53,0
416,msft,2018-07-25 22:28:40,0
417,msft,2018-07-25 22:28:19,0
418,msft,2018-07-25 22:27:00,0
419,msft,2018-07-25 22:27:00,-0.4
420,msft,2018-07-25 22:26:29,0.65
421,msft,2018-07-25 22:26:27,0
422,msft,2018-07-25 22:25:00,0
423,msft,2018-07-25 22:24:32,0.2666666667
424,msft,2018-07-25 22:23:28,0.75
425,msft,2018-07-25 22:22:30,0
426,msft,2018-07-25 22:22:20,0
427,msft,2018-07-25 22:22:08,-0.0625
428,msft,2018-07-25 22:21:40,0.3875
429,msft,2018-07-25 22:20:23,0.2
430,msft,2018-07-25 22:19:36,-0.3125
431,msft,2018-07-25 22:19:28,0
432,msft,2018-07-25 22:16:43,0
433,msft,2018-07-25 22:16:09,0
434,msft,2018-07-25 22:15:18,0.4861111111
435,msft,2018-07-25 22:14:46,0.5
436,msft,2018-07-25 22:14:30,0
437,msft,2018-07-25 22:14:26,0.5
438,msft,2018-07-25 22:14:26,0
439,msft,2018-07-25 22:13:34,0.125
440,msft,2018-07-25 22:12:08,-0.0777777778
441,msft,2018-07-25 22:12:07,0.4
442,msft,2018-07-25 22:12:00,0
443,msft,2018-07-25 22:11:46,0
444,msft,2018-07-25 22:11:35,0.0681818182
445,msft,2018-07-25 22:11:35,0.5
446,msft,2018-07-25 22:11:35,0
447,msft,2018-07-25 22:10:29,0
448,msft,2018-07-25 22:08:33,0.4
449,msft,2018-07-25 22:08:32,0
450,msft,2018-07-25 22:08:06,0.25
451,msft,2018-07-25 22:07:27,0
452,msft,2018-07-25 22:07:24,0
453,msft,2018-07-25 22:06:53,0
454,msft,2018-07-25 22:03:28,0.625
455,msft,2018-07-25 22:03:04,0.5
456,msft,2018-07-25 22:02:01,0
457,msft,2018-07-25 22:01:28,-0.625
458,msft,2018-07-25 22:01:28,0
459,msft,2018-07-25 22:01:28,-0.125
460,msft,2018-07-25 22:01:13,0
461,msft,2018-07-25 22:01:06,0
462,msft,2018-07-25 22:01:00,0
463,msft,2018-07-25 22:00:54,0
464,msft,2018-07-25 22:00:47,0.2666666667
465,msft,2018-07-25 22:00:36,-0.2333333333
466,msft,2018-07-25 22:00:26,0
467,msft,2018-07-25 22:00:23,0
468,msft,2018-07-25 22:00:01,0.5
469,msft,2018-07-25 21:59:36,0
470,msft,2018-07-25 21:59:26,0
471,msft,2018-07-25 21:59:00,0.5333333333
472,msft,2018-07-25 21:58:34,-0.0222222222
473,msft,2018-07-25 21:57:45,0.15
474,msft,2018-07-25 21:56:53,-0.22
475,msft,2018-07-25 21:56:20,0
476,msft,2018-07-25 21:56:09,0.0175
477,msft,2018-07-25 21:55:31,0.3666666667
478,msft,2018-07-25 21:55:01,0.5
479,msft,2018-07-25 21:54:56,0
480,msft,2018-07-25 21:54:37,-0.0777777778
481,msft,2018-07-25 21:53:53,0
482,msft,2018-07-25 21:53:26,-0.125
483,msft,2018-07-25 21:51:36,0.25
484,msft,2018-07-25 21:50:52,0
485,msft,2018-07-25 21:50:24,0
486,msft,2018-07-25 21:50:06,0
487,msft,2018-07-25 21:49:47,0
488,msft,2018-07-25 21:49:27,0.3291666667
489,msft,2018-07-25 21:49:26,0
490,msft,2018-07-25 21:49:00,0.1
491,msft,2018-07-25 21:48:36,0
492,msft,2018-07-25 21:48:28,0
493,msft,2018-07-25 21:47:23,0.5333333333
494,msft,2018-07-25 21:46:25,0.0895833333
495,msft,2018-07-25 21:45:00,0
496,msft,2018-07-25 21:42:28,0.490625
497,msft,2018-07-25 21:41:31,0.4583333333
498,msft,2018-07-25 21:41:26,0
499,msft,2018-07-25 21:41:01,0
500,msft,2018-07-25 21:40:00,0.7666666667
501,msft,2018-07-25 21:38:08,0.08
502,msft,2018-07-25 21:36:00,0.4875
503,msft,2018-07-25 21:33:29,0
504,msft,2018-07-25 21:33:19,0
505,msft,2018-07-25 21:33:00,0.65
506,msft,2018-07-25 21:31:57,0
507,msft,2018-07-25 21:31:02,0
508,msft,2018-07-25 21:31:01,0
509,msft,2018-07-25 21:30:35,0.125
510,msft,2018-07-25 21:30:30,0
511,msft,2018-07-25 21:30:01,0
512,msft,2018-07-25 21:30:00,0
513,msft,2018-07-25 21:30:00,0.1148148148
514,msft,2018-07-25 21:28:40,0
515,msft,2018-07-25 21:28:01,0.3571428571
516,msft,2018-07-25 21:27:48,0.1222222222
517,msft,2018-07-25 21:27:48,0
518,msft,2018-07-25 21:27:22,0.5333333333
519,msft,2018-07-25 21:26:51,0
520,msft,2018-07-25 21:26:49,-0.05
521,msft,2018-07-25 21:25:03,0
522,msft,2018-07-25 21:25:00,0.5
523,msft,2018-07-25 21:23:00,0
524,msft,2018-07-25 21:23:00,0
525,msft,2018-07-25 21:22:50,0
526,msft,2018-07-25 21:22:23,0
527,msft,2018-07-25 21:20:54,0
528,msft,2018-07-25 21:20:24,0.1555555556
529,msft,2018-07-25 21:20:18,-0.8
530,msft,2018-07-25 21:20:04,0
531,msft,2018-07-25 21:19:26,0.3291666667
532,msft,2018-07-25 21:19:24,0
533,msft,2018-07-25 21:19:09,0
534,msft,2018-07-25 21:18:05,0
535,msft,2018-07-25 21:17:18,-0.125
536,msft,2018-07-25 21:17:00,-0.8
537,msft,2018-07-25 21:16:37,0.5
538,msft,2018-07-25 21:16:00,0
539,msft,2018-07-25 21:16:00,0
540,msft,2018-07-25 21:15:30,-0.1
541,msft,2018-07-25 21:15:15,0.425
542,msft,2018-07-25 21:13:33,0
543,msft,2018-07-25 21:13:00,0.25
544,msft,2018-07-25 21:13:00,0.45
545,msft,2018-07-25 21:12:28,0
546,msft,2018-07-25 21:12:28,0
547,msft,2018-07-25 21:12:00,0.45
548,msft,2018-07-25 21:11:51,-0.05
549,msft,2018-07-25 21:11:36,0
550,msft,2018-07-25 21:11:00,0
551,msft,2018-07-25 21:11:00,0
552,msft,2018-07-25 21:10:29,0.1363636364
553,msft,2018-07-25 21:09:44,0
554,msft,2018-07-25 21:09:19,0.4
555,msft,2018-07-25 21:08:21,0.1363636364
556,msft,2018-07-25 21:08:02,-0.05
557,msft,2018-07-25 21:05:58,0.175
558,msft,2018-07-25 21:05:16,0
559,msft,2018-07-25 21:04:46,0
560,msft,2018-07-25 21:04:23,0
561,msft,2018-07-25 21:04:10,0
562,msft,2018-07-25 21:03:39,0
563,msft,2018-07-25 21:03:38,0.2857142857
564,msft,2018-07-25 21:02:54,0
565,msft,2018-07-25 21:02:54,0
566,msft,2018-07-25 21:02:48,0
567,msft,2018-07-25 21:02:43,0
568,msft,2018-07-25 21:02:42,1
569,msft,2018-07-25 21:02:22,0
570,msft,2018-07-25 21:02:21,0.5
571,msft,2018-07-25 21:02:00,0.5
572,msft,2018-07-25 21:01:55,0
573,msft,2018-07-25 21:01:36,0.6
574,msft,2018-07-25 21:01:30,0
575,msft,2018-07-25 21:00:56,0
576,msft,2018-07-25 21:00:56,0.5
577,msft,2018-07-25 21:00:56,0.5
578,msft,2018-07-25 21:00:40,0
579,msft,2018-07-25 21:00:01,0.25
580,msft,2018-07-25 21:00:01,0.2857142857
581,msft,2018-07-25 21:00:00,0
582,msft,2018-07-25 21:00:00,0.55
583,msft,2018-07-25 20:59:50,  $CYOU  
584,msft,2018-07-25 20:59:43,0
585,msft,2018-07-25 20:59:28,0
586,msft,2018-07-25 20:59:17,0
587,msft,2018-07-25 20:59:16,0
588,msft,2018-07-25 20:58:58,  $CYOU  #stocks
589,msft,2018-07-25 20:58:32,0
590,msft,2018-07-25 20:57:47,0
591,msft,2018-07-25 20:57:23,0
592,msft,2018-07-25 20:57:00,0
593,msft,2018-07-25 20:56:31,-0.1333333333
594,msft,2018-07-25 20:56:30,0
595,msft,2018-07-25 20:56:30,0
596,msft,2018-07-25 20:55:52,0.2
597,msft,2018-07-25 20:55:52,0
598,msft,2018-07-25 20:55:21,0
599,msft,2018-07-25 20:55:20,0.275
600,msft,2018-07-25 20:55:19,0
601,msft,2018-07-25 20:55:13,0
602,msft,2018-07-25 20:55:01,0.5
603,msft,2018-07-25 20:54:25,0
604,msft,2018-07-25 20:54:00,-0.1666666667
605,msft,2018-07-25 20:53:27,0
606,msft,2018-07-25 20:52:54,0
607,msft,2018-07-25 20:52:41,0
608,msft,2018-07-25 20:52:29,0
609,msft,2018-07-25 20:51:50,0
610,msft,2018-07-25 20:51:02,0.75
611,msft,2018-07-25 20:50:16,0
612,msft,2018-07-25 20:48:50,0.625
613,msft,2018-07-25 20:47:14,0.3333333333
614,msft,2018-07-25 20:47:00,0
615,msft,2018-07-25 20:46:48,0.35
616,msft,2018-07-25 20:46:00,0
617,msft,2018-07-25 20:46:00,0
618,msft,2018-07-25 20:45:42,0
619,msft,2018-07-25 20:45:42,0
620,msft,2018-07-25 20:44:28,0
621,msft,2018-07-25 20:44:27,0
622,msft,2018-07-25 20:43:30,0
623,msft,2018-07-25 20:43:30,0.33125
624,msft,2018-07-25 20:43:04, Investment Monthly Newsletter  $DIA $MSFT $ATOS $FSNN $JNJ… 
625,msft,2018-07-25 20:42:43,0.2
626,msft,2018-07-25 20:42:43,0
627,msft,2018-07-25 20:42:43,0.1
628,msft,2018-07-25 20:41:47,0
629,msft,2018-07-25 20:41:45,0.5
630,msft,2018-07-25 20:41:33,0
631,msft,2018-07-25 20:41:00,0
632,msft,2018-07-25 20:40:48,0
633,msft,2018-07-25 20:40:24,0.45
634,msft,2018-07-25 20:40:21,0.375
635,msft,2018-07-25 20:40:09,0
636,msft,2018-07-25 20:40:01, $AAPL
637,msft,2018-07-25 20:39:39,0
638,msft,2018-07-25 20:39:00,0
639,msft,2018-07-25 20:38:30,0.5787878788
640,msft,2018-07-25 20:37:59,0.1666666667
641,msft,2018-07-25 20:36:31,0.05
